                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1919,                 2.1499,                  1.463,                0.59821,                0.28158,                0.21568,                0.10046,                 1.3353,                  2.994,                 1.8494,             0.00046676,             0.00046676,             0.00046676
                      1,                 1.1835,                 1.5238,                 1.4522,                0.65251,                0.27835,                0.27324,                0.12224,                 1.3364,                 2.8175,                 1.9078,             0.00090316,             0.00090316,             0.00090316
                      2,                 1.1758,                  1.429,                 1.4192,                0.57655,                0.24211,                0.20327,                 0.0812,                 1.2472,                 2.9515,                 1.7521,              0.0012917,              0.0012917,              0.0012917
                      3,                 1.1943,                 1.4093,                 1.4119,                0.59356,                0.17105,                0.11916,                 0.0431,                 1.5498,                 3.9243,                 2.1023,              0.0014195,              0.0014195,              0.0014195
                      4,                  1.153,                 1.3493,                 1.3809,                0.61246,                0.32895,                0.24131,                 0.0837,                 1.5162,                 3.5936,                 2.1555,              0.0014195,              0.0014195,              0.0014195
                      5,                 1.1579,                 1.2978,                 1.3839,                0.58415,                0.28158,                0.13088,                0.05195,                 1.5812,                 3.5661,                 1.9765,              0.0013369,              0.0013369,              0.0013369
                      6,                 1.1069,                 1.2332,                 1.3564,                0.63771,                0.32632,                0.20031,                0.09066,                 1.3448,                 3.6913,                 1.7223,              0.0012544,              0.0012544,              0.0012544
1,139.678,1.17845,1.55736,1.36831,0.1188,0.27105,0.11333,0.04799,1.19061,4.15525,1.66643,0.0509304,0.000495652,0.000495652
